date,code,name,close,sma5,sma20,sma60,rsi,volume,volume_ratio,day_change_pct,prev_day_change_pct,high_price,low_price,atr_pct
2026-04-13,4564,オンコセラピー・サイエンス,24.0,25.2,23.0,21.6,,208934100,1.35,,,,,
2026-04-13,4597,ソレイジア・ファーマ,33.0,34.0,32.8,31.6,,75844900,1.38,,,,,
2026-04-13,5803,フジクラ,5698.0,5120.4,4561.1,3996.5,,67148400,1.18,,,,,
2026-04-13,3103,ユニチカ,1763.0,1317.4,1276.2,1156.5,,39395300,5.2,,,,,
2026-04-13,5016,ＪＸ金属,4635.0,4321.8,3841.1,3433.8,,33130000,0.96,,,,,
2026-04-13,5856,エルアイイーエイチ,35.0,32.0,26.9,25.6,,18857600,1.64,,,,,
2026-04-13,3436,ＳＵＭＣＯ,2154.0,1958.9,1778.4,1680.3,,16413400,2.02,,,,,
2026-04-13,5802,住友電気工業,9926.0,10084.4,9651.8,8900.3,,13599200,1.57,,,,,
2026-04-13,7012,川崎重工業,3345.0,3295.2,3159.7,3138.0,,11101700,0.82,,,,,
2026-04-13,4689,ＬＩＮＥヤフー,403.8,405.8,395.3,394.7,,10751300,0.67,,,,,
2026-04-13,7453,良品計画,3804.0,3665.8,3521.5,3426.5,,10710800,2.39,,,,,
2026-04-13,5801,古河電気工業,45310.0,43040.0,33900.8,24743.7,,10187600,0.91,,,,,
2026-04-13,4063,信越化学工業,6662.0,6553.6,6401.2,5917.2,,8241400,0.92,,,,,
2026-04-13,6981,村田製作所,4170.0,4018.4,3748.0,3587.3,,7510600,0.95,,,,,
2026-04-13,5020,ＥＮＥＯＳホールディングス,1427.5,1446.4,1414.1,1377.0,,6821700,0.62,,,,,
2026-04-13,4062,イビデン,9386.0,9519.2,8466.6,8352.0,,6341000,1.06,,,,,
2026-04-13,6752,パナソニック　ホールディングス,2879.5,2891.3,2706.6,2491.3,,5818900,0.6,,,,,
2026-04-13,5341,ＡＳＡＨＩ　ＥＩＴＯホールディングス,297.0,282.6,209.7,208.1,,4938700,2.46,,,,,
2026-04-13,8766,東京海上ホールディングス,7000.0,7198.4,6974.1,6371.2,,4832700,0.73,,,,,
2026-04-13,8031,三井物産,6233.0,6328.8,6273.3,5723.8,,4826600,0.6,,,,,
2026-04-13,6619,ダブル・スコープ,244.0,253.2,221.7,187.3,,4488700,1.07,,,,,
2026-04-13,6503,三菱電機,5814.0,5654.2,5404.2,5393.9,,4120200,0.72,,,,,
2026-04-13,6920,レーザーテック,41230.0,39604.0,36098.5,34514.6,,3913200,0.75,,,,,
2026-04-13,3110,日東紡績,28960.0,25638.0,22043.0,20316.0,,3743000,1.88,,,,,
2026-04-13,4503,アステラス製薬,2560.5,2600.7,2531.7,2420.6,,3741900,0.69,,,,,
2026-04-13,2802,味の素,4607.0,4669.2,4534.2,4277.9,,3500300,1.05,,,,,
2026-04-13,4543,テルモ,2134.0,2175.6,2129.3,2079.7,,3361300,0.57,,,,,
2026-04-13,7375,リファインバースグループ,1644.0,1573.8,1344.3,1048.6,,3213200,0.73,,,,,
2026-04-13,8002,丸紅,5932.0,6001.6,5768.7,5589.3,,3193900,0.72,,,,,
2026-04-13,6976,太陽誘電,5073.0,4898.8,4288.6,4087.2,,3045500,1.17,,,,,
2026-04-13,4911,資生堂,3285.0,3416.2,3216.9,3021.0,,3003200,1.13,,,,,
2026-04-13,1963,日揮ホールディングス,2693.0,2711.6,2366.9,2266.9,,3001500,0.55,,,,,
2026-04-13,2914,日本たばこ産業,5953.0,6025.4,5970.4,5874.0,,2990100,0.73,,,,,
2026-04-13,5019,出光興産,1545.5,1573.7,1535.9,1428.7,,2946500,0.55,,,,,
2026-04-13,9101,日本郵船,6104.0,6158.8,5978.7,5487.8,,2893600,0.59,,,,,
2026-04-13,6965,浜松ホトニクス,1949.5,1929.5,1907.2,1865.6,,2687600,1.04,,,,,
2026-04-13,2801,キッコーマン,1514.5,1537.1,1449.3,1440.4,,2659800,0.6,,,,,
2026-04-13,8697,日本取引所グループ,1900.0,1924.5,1877.2,1854.4,,2602700,0.81,,,,,
2026-04-13,6232,ＡＣＳＬ,1807.0,1620.2,1541.8,1350.6,,2477300,2.13,,,,,
2026-04-13,7936,アシックス,4487.0,4416.8,4345.1,4288.8,,2443500,0.68,,,,,
2026-04-13,2503,キリンホールディングス,2617.0,2637.6,2557.7,2538.7,,2443000,0.74,,,,,
2026-04-13,9502,中部電力,2783.0,2765.8,2654.3,2501.4,,2413000,0.91,,,,,
2026-04-13,6963,ローム,3613.0,3613.6,3378.9,2961.2,,2340000,0.53,,,,,
2026-04-13,8524,北洋銀行,1035.0,1035.8,977.6,976.5,,2334600,1.05,,,,,
2026-04-13,9602,東宝,1657.5,1658.9,1653.1,1604.1,,2321800,0.79,,,,,
2026-04-13,8593,三菱ＨＣキャピタル,1459.5,1481.7,1446.5,1431.8,,2247400,0.55,,,,,
2026-04-13,4004,レゾナック・ホールディングス,13300.0,12858.0,11343.9,10458.5,,2217900,0.74,,,,,
2026-04-13,8630,ＳＯＭＰＯホールディングス,5915.0,6027.2,5983.4,5836.1,,2202300,0.96,,,,,
2026-04-13,9519,レノバ,997.0,949.2,858.2,763.1,,2196200,1.05,,,,,
2026-04-13,2013,ｉシェアーズ　米国高配当株　ＥＴＦ,290.1,289.1,289.0,284.8,,2178310,2.79,,,,,
2026-04-13,2195,アミタホールディングス,486.0,473.6,442.6,387.1,,2159300,0.77,,,,,
2026-04-13,4507,塩野義製薬,3375.0,3489.6,3473.5,3390.8,,2094100,0.72,,,,,
2026-04-13,7167,めぶきフィナンシャルグループ,1344.0,1341.4,1258.6,1236.6,,2049400,0.77,,,,,
2026-04-13,5706,三井金属,36430.0,34990.0,31735.8,28607.8,,2012700,1.04,,,,,
2026-04-13,2371,カカクコム,2032.0,2141.4,2055.2,1962.0,,1943900,0.95,,,,,
2026-04-13,6264,マルマエ,1878.0,1668.0,1601.5,1583.4,,1880400,2.31,,,,,
2026-04-13,6407,ＣＫＤ,5650.0,5264.0,4703.5,4644.1,,1806000,2.65,,,,,
2026-04-13,5817,ＪＭＡＣＳ,1785.0,1519.4,1401.5,1371.8,,1693400,6.27,,,,,
2026-04-13,1878,大東建託,3590.0,3712.0,3658.8,3469.7,,1678800,1.05,,,,,
2026-04-13,6197,ソラスト,1116.0,1116.0,1072.5,980.3,,1658700,0.86,,,,,
2026-04-13,6952,カシオ計算機,1658.0,1649.6,1507.0,1485.9,,1607900,0.36,,,,,
2026-04-13,4385,メルカリ,3602.0,3775.4,3691.4,3474.4,,1590400,0.79,,,,,
2026-04-13,2492,インフォマート,427.0,458.0,436.2,421.7,,1548800,0.74,,,,,
