date,code,name,close,sma5,sma20,sma60,rsi,volume,volume_ratio,day_change_pct,prev_day_change_pct,high_price,low_price,atr_pct
2026-05-15,8918,ランド,10.0,10.2,10.1,9.6,,218909200,0.93,,,,,
2026-05-15,5803,フジクラ,5819.0,6897.0,6231.8,4976.0,,128904500,2.53,,,,,
2026-05-15,9434,ソフトバンク,225.0,222.2,221.1,216.5,,85367500,1.06,,,,,
2026-05-15,9984,ソフトバンクグループ,5745.0,5851.4,5441.4,4390.7,,69924000,0.85,,,,,
2026-05-15,8306,三菱ＵＦＪフィナンシャル・グループ,2929.0,2895.0,2850.2,2800.9,,47220900,1.31,,,,,
2026-05-15,4005,住友化学,623.6,561.5,526.8,524.7,,30518900,2.04,,,,,
2026-05-15,6723,ルネサスエレクトロニクス,3647.0,3665.2,3224.2,2802.2,,19071900,0.81,,,,,
2026-05-15,6526,ソシオネクスト,2426.0,2320.2,2036.2,1937.3,,19064500,1.61,,,,,
2026-05-15,3436,ＳＵＭＣＯ,3090.0,3479.0,2678.0,2032.8,,17626900,0.89,,,,,
2026-05-15,8316,三井住友フィナンシャルグループ,5702.0,5735.8,5584.0,5500.8,,15463800,1.15,,,,,
2026-05-15,6752,パナソニック　ホールディングス,3293.0,3336.8,3127.4,2776.3,,14918100,1.16,,,,,
2026-05-15,6954,ファナック,8228.0,7851.6,6941.4,6397.1,,14410600,1.33,,,,,
2026-05-15,6762,ＴＤＫ,2993.0,2975.7,2730.2,2363.2,,13723700,0.89,,,,,
2026-05-15,6594,ニデック,2573.0,2654.8,2458.1,2318.2,,13620200,1.29,,,,,
2026-05-15,6472,ＮＴＮ,410.8,440.7,382.6,369.0,,13443900,1.64,,,,,
2026-05-15,6613,ＱＤレーザ,1727.0,1663.0,1535.0,1198.5,,13178900,1.68,,,,,
2026-05-15,6981,村田製作所,6151.0,6123.4,5230.7,4239.3,,13040900,0.82,,,,,
2026-05-15,8411,みずほフィナンシャルグループ,6912.0,6961.2,6789.6,6644.2,,10413100,1.08,,,,,
2026-05-15,5802,住友電気工業,10980.0,11744.0,10632.4,10045.5,,10409100,1.33,,,,,
2026-05-15,8308,りそなホールディングス,2042.0,2040.5,1944.6,1872.9,,10223500,1.03,,,,,
2026-05-15,6503,三菱電機,6416.0,6428.0,6142.6,5728.6,,8906700,1.09,,,,,
2026-05-15,4901,富士フイルムホールディングス,3110.0,3194.6,3066.7,3055.3,,8770700,1.11,,,,,
2026-05-15,6098,リクルートホールディングス,7825.0,7735.6,7534.8,6930.4,,8557900,1.38,,,,,
2026-05-15,3810,サイバーステップホールディングス,375.0,362.2,264.8,252.2,,8538400,1.37,,,,,
2026-05-15,4062,イビデン,15660.0,16377.0,12948.6,10024.5,,8307900,0.84,,,,,
2026-05-15,7733,オリンパス,1720.0,1693.3,1597.3,1514.1,,7977800,1.16,,,,,
