date,code,name,close,sma5,sma20,sma60,rsi,volume,volume_ratio,day_change_pct,prev_day_change_pct,high_price,low_price,atr_pct
2026-09-08,8918,"LAND Co., Ltd.",11.0,11.0,10.6,10.3,,333591800,0.95,,,,,
2026-09-08,9432,NTT Inc,172.0,172.4,167.1,155.5,,188185000,0.88,,,,,
2026-09-08,4564,"OncoTherapy Science, Inc.",22.0,21.8,21.3,20.2,,178166400,1.11,,,,,
2026-09-08,9434,SoftBank Corp.,241.0,239.5,236.5,223.4,,58397100,0.89,,,,,
2026-09-08,8729,Sony Financial Group Inc.,162.3,162.4,159.6,153.0,,42373300,0.64,,,,,
2026-09-08,5401,NIPPON STEEL CORP.,677.9,692.7,680.3,621.0,,37487400,0.88,,,,,
2026-09-08,3350,Metaplanet Inc.,244.0,277.4,275.4,244.4,,34515000,0.7,,,,,
2026-09-08,8306,"Mitsubishi UFJ Financial Group, Inc.",3656.0,3718.0,3629.8,3513.6,,32906000,0.86,,,,,
2026-09-08,2330,"Forside Co., Ltd.",130.0,100.0,83.8,77.9,,32542000,18.42,,,,,
2026-09-08,9501,"Tokyo Electric Power Company Holdings, Incorporated",556.7,561.9,537.4,511.5,,30973300,0.71,,,,,
2026-09-08,7203,Toyota Motor Corp.,2968.5,3079.1,3072.2,2943.6,,30560900,1.35,,,,,
2026-09-08,6203,"Howa Machinery, Ltd.",2148.0,1714.4,1557.0,1537.7,,18052800,15.68,,,,,
2026-09-08,8001,Itochu Corporation,2277.0,2222.9,2112.9,1985.5,,17555600,1.21,,,,,
2026-09-08,8136,Sanrio Co. Ltd.,1252.0,1274.9,1238.8,1173.8,,15212000,0.82,,,,,
2026-09-08,7211,Mitsubishi Motors Corporation,345.9,367.3,363.9,352.2,,14425300,1.19,,,,,
2026-09-08,4689,LY Corporation,526.9,529.6,526.6,468.5,,12985400,0.62,,,,,
2026-09-08,4005,"Sumitomo Chemical Co., Ltd.",568.1,599.4,560.4,541.5,,12098500,0.87,,,,,
2026-09-08,8053,Sumitomo Corporation,1838.5,1832.0,1778.8,1665.5,,11093800,1.04,,,,,
2026-09-08,1783,"Fantasista Co.,Ltd",67.0,54.6,50.2,50.1,,10201700,28.09,,,,,
2026-09-08,8316,"Sumitomo Mitsui Financial Group, Inc.",6928.0,7009.4,6850.9,6763.7,,10044400,0.86,,,,,
2026-09-08,4594,BrightPath Biotherapeutics Co.Ltd.,58.0,53.0,52.9,49.4,,10000500,15.23,,,,,
2026-09-08,6330,Toyo Engineering Corporation,2714.0,2591.0,2529.2,2174.2,,9829900,1.17,,,,,
2026-09-08,8308,"Resona Holdings, Inc.",2491.0,2530.2,2460.5,2321.1,,9755500,1.08,,,,,
2026-09-08,8267,"AEON Co., Ltd.",1422.0,1393.8,1377.8,1371.7,,9427800,0.88,,,,,
2026-09-08,8604,"Nomura Holdings, Inc.",1648.5,1642.8,1592.7,1536.1,,8712500,0.9,,,,,
2026-09-08,4062,"IBIDEN CO., LTD.",20810.0,20682.0,20366.0,20312.6,,8496000,1.14,,,,,
2026-09-08,5020,"ENEOS Holdings, Inc.",1393.5,1365.0,1329.1,1285.8,,8479200,1.08,,,,,
2026-09-08,2181,PERSOL HOLDINGS CO. LTD.,284.3,294.7,292.7,267.8,,8455600,0.81,,,,,
2026-09-08,8058,Mitsubishi Corporation,4927.0,4947.6,4818.9,4678.4,,7865200,0.98,,,,,
2026-09-08,8411,"Mizuho Financial Group, Inc.",8599.0,8696.6,8476.0,8262.1,,7136000,0.83,,,,,
2026-09-08,2315,CAICA DIGITAL Inc.,69.0,68.6,66.4,61.9,,7076700,1.35,,,,,
2026-09-08,4052,"Ficha, Inc.",890.0,809.0,644.2,404.5,,6937700,1.81,,,,,
2026-09-08,7974,"Nintendo Co., Ltd.",8750.0,8803.0,8781.4,7750.7,,6871800,0.9,,,,,
2026-09-08,3653,"Morpho, Inc.",1315.0,1250.0,890.0,711.6,,6579400,4.0,,,,,
2026-09-08,5411,"JFE Holdings, Inc.",1823.5,1854.5,1839.4,1737.8,,6555300,0.6,,,,,
2026-09-08,4583,Chiome Bioscience Inc.,97.0,94.2,85.5,76.0,,6398300,1.7,,,,,
