date,code,name,close,sma5,sma20,sma60,rsi,volume,volume_ratio,day_change_pct,prev_day_change_pct,high_price,low_price,atr_pct
2026-03-30,8918,ランド,9.0,9.6,9.5,9.3,,183947400,0.87,,,,,
2026-03-30,9434,ソフトバンク,212.9,217.6,214.8,214.2,,100754500,1.28,,,,,
2026-03-30,6740,ジャパンディスプレイ,81.0,74.4,72.2,39.0,,62239900,0.35,,,,,
2026-03-30,5803,フジクラ,4505.0,4528.3,4321.4,3693.3,,43818400,0.65,,,,,
2026-03-30,1605,ＩＮＰＥＸ,4892.0,4688.4,4369.7,3723.5,,20046600,1.51,,,,,
2026-03-30,8058,三菱商事,5669.0,5613.6,5317.3,4670.1,,17194400,1.33,,,,,
2026-03-30,8031,三井物産,6289.0,6323.8,6059.1,5474.4,,15370000,1.54,,,,,
2026-03-30,5020,ＥＮＥＯＳホールディングス,1436.5,1399.1,1384.6,1327.7,,14625700,1.47,,,,,
2026-03-30,6752,パナソニック　ホールディングス,2600.0,2629.4,2561.7,2369.9,,10835700,1.25,,,,,
2026-03-30,6613,ＱＤレーザ,1295.0,1279.4,1150.2,725.6,,10056300,0.59,,,,,
2026-03-30,8766,東京海上ホールディングス,7268.0,7416.0,6382.7,6148.4,,9675400,0.97,,,,,
2026-03-30,5801,古河電気工業,30950.0,30675.0,29074.2,20060.3,,9232600,1.18,,,,,
2026-03-30,3436,ＳＵＭＣＯ,1782.0,1777.1,1687.5,1624.0,,8973200,0.97,,,,,
2026-03-30,6197,ソラスト,1115.0,1080.4,1012.2,937.1,,8262400,2.97,,,,,
2026-03-30,9107,川崎汽船,2656.0,2667.2,2660.1,2410.9,,7528500,0.77,,,,,
2026-03-30,4503,アステラス製薬,2558.5,2545.4,2432.7,2350.3,,7189900,1.18,,,,,
2026-03-30,1963,日揮ホールディングス,2246.5,2193.8,2186.9,2172.2,,6952600,2.95,,,,,
2026-03-30,4594,ブライトパス・バイオ,75.0,80.8,71.8,65.7,,6575400,0.45,,,,,
2026-03-30,4502,武田薬品工業,5713.0,5765.0,5723.5,5446.2,,6439900,1.35,,,,,
2026-03-30,8002,丸紅,5763.0,5628.2,5537.6,5363.6,,6126300,1.08,,,,,
2026-03-30,2914,日本たばこ産業,6056.0,5957.4,5819.6,5818.2,,6053200,1.42,,,,,
2026-03-30,5019,出光興産,1557.5,1517.5,1467.7,1366.3,,5656900,1.36,,,,,
2026-03-30,4062,イビデン,7776.0,8163.6,8102.9,8053.1,,5276700,0.96,,,,,
2026-03-30,9104,商船三井,6763.0,6717.8,6336.1,5442.1,,5120000,0.62,,,,,
2026-03-30,8725,ＭＳ＆ＡＤインシュアランスグループホールディングス,4021.0,4121.0,4083.1,4045.0,,4884300,1.11,,,,,
2026-03-30,9101,日本郵船,5721.0,5762.2,5713.3,5334.1,,4709800,0.89,,,,,
2026-03-30,1662,石油資源開発,2694.0,2585.6,2536.1,2161.9,,4625100,1.01,,,,,
2026-03-30,6072,地盤ネットホールディングス,1007.0,982.2,975.2,605.3,,4213100,1.73,,,,,
2026-03-30,9519,レノバ,876.0,799.6,755.5,721.9,,4193200,2.65,,,,,
2026-03-30,6522,アスタリスク,1463.0,1340.8,701.3,498.8,,3980300,0.6,,,,,
2026-03-30,9503,関西電力,2646.0,2620.9,2578.9,2573.2,,3886400,1.09,,,,,
2026-03-30,9602,東宝,1650.5,1627.1,1595.0,1588.7,,3831500,1.43,,,,,
2026-03-30,6963,ローム,3125.0,3249.0,3186.3,2762.8,,3818400,0.75,,,,,
2026-03-30,4507,塩野義製薬,3492.0,3444.8,3435.5,3282.7,,3560100,1.23,,,,,
2026-03-30,8835,太平洋興発,1262.0,1050.8,934.9,901.7,,3512400,8.31,,,,,
