date,code,name,close,sma5,sma20,sma60,rsi,volume,volume_ratio,day_change_pct,prev_day_change_pct,high_price,low_price,atr_pct
2026-04-02,6740,ジャパンディスプレイ,93.0,83.6,81.2,42.4,,275840000,2.22,,,,,
2026-04-02,1360,日経平均ベア２倍上場投信,121.1,122.3,120.2,119.8,,230916160,1.44,,,,,
2026-04-02,9432,ＮＴＴ,157.0,157.1,156.0,155.5,,209197900,0.91,,,,,
2026-04-02,4597,ソレイジア・ファーマ,37.0,33.2,32.2,30.9,,71464100,1.59,,,,,
2026-04-02,5803,フジクラ,4293.0,4387.8,4286.6,3761.5,,56992200,0.98,,,,,
2026-04-02,1605,ＩＮＰＥＸ,4567.0,4747.6,4471.0,3799.8,,32548200,2.25,,,,,
2026-04-02,3315,日本コークス工業,116.0,120.8,118.0,117.8,,24599900,0.99,,,,,
2026-04-02,1459,楽天ＥＴＦ‐日経ダブルインバース指数連動型,199.0,201.4,197.7,196.8,,20907290,1.46,,,,,
2026-04-02,1357,ＮＥＸＴ　ＦＵＮＤＳ　日経平均ダブルインバース・インデックス連動型上場投信,4931.0,4981.4,4892.1,4875.3,,12973687,1.4,,,,,
2026-04-02,9433,ＫＤＤＩ,2711.0,2699.9,2678.3,2672.8,,12553600,1.14,,,,,
2026-04-02,5020,ＥＮＥＯＳホールディングス,1439.0,1443.5,1385.7,1344.8,,12223400,1.02,,,,,
2026-04-02,5801,古河電気工業,32420.0,31107.0,29422.8,21123.0,,11356700,1.29,,,,,
2026-04-02,8058,三菱商事,5397.0,5527.0,5347.9,4762.1,,10726400,0.75,,,,,
2026-04-02,4884,クリングルファーマ,514.0,440.4,405.6,396.6,,10119100,109.16,,,,,
2026-04-02,6752,パナソニック　ホールディングス,2743.0,2674.0,2596.5,2402.4,,9531200,0.96,,,,,
2026-04-02,9107,川崎汽船,2735.5,2705.3,2677.3,2437.3,,8673700,0.91,,,,,
2026-04-02,8750,第一生命ホールディングス,1469.5,1448.6,1446.3,1437.5,,8395800,0.75,,,,,
2026-04-02,8031,三井物産,6212.0,6265.0,6105.7,5551.1,,7784600,0.71,,,,,
2026-04-02,8835,太平洋興発,1220.0,1161.0,974.8,918.2,,7665200,5.15,,,,,
2026-04-02,1662,石油資源開発,2525.0,2622.4,2542.0,2213.6,,7635900,1.67,,,,,
2026-04-02,4063,信越化学工業,6412.0,6306.6,6295.3,5764.1,,7241600,0.69,,,,,
