date,code,name,close,sma5,sma20,sma60,rsi,volume,volume_ratio,day_change_pct,prev_day_change_pct,high_price,low_price,atr_pct
2026-09-03,8918,"LAND Co., Ltd.",11.0,11.0,10.4,10.2,,362100400,1.05,,,,,
2026-09-03,9432,NTT Inc,173.2,173.0,165.1,154.4,,206699600,0.89,,,,,
2026-09-03,4564,"OncoTherapy Science, Inc.",22.0,21.8,20.9,20.0,,151214500,0.86,,,,,
2026-09-03,8729,Sony Financial Group Inc.,163.6,161.6,158.3,152.0,,70704800,1.06,,,,,
2026-09-03,5401,NIPPON STEEL CORP.,704.6,688.6,680.4,613.7,,70186900,1.79,,,,,
2026-09-03,9434,SoftBank Corp.,237.6,239.0,235.0,222.2,,59409800,0.84,,,,,
2026-09-03,8306,"Mitsubishi UFJ Financial Group, Inc.",3754.0,3695.2,3604.6,3485.8,,53076600,1.64,,,,,
2026-09-03,9501,"Tokyo Electric Power Company Holdings, Incorporated",569.5,554.4,532.6,508.9,,49251300,1.15,,,,,
2026-09-03,3664,WIZE Inc.,24.0,26.0,24.7,23.4,,38765200,1.38,,,,,
2026-09-03,3350,Metaplanet Inc.,279.0,312.6,268.8,242.4,,31315000,0.54,,,,,
2026-09-03,7203,Toyota Motor Corp.,3117.0,3153.0,3062.1,2930.1,,22107500,0.9,,,,,
2026-09-03,8136,Sanrio Co. Ltd.,1288.5,1293.1,1257.9,1154.6,,21201100,1.16,,,,,
2026-09-03,4689,LY Corporation,533.9,547.8,519.7,462.4,,19743600,0.89,,,,,
2026-09-03,4005,"Sumitomo Chemical Co., Ltd.",626.7,598.4,549.1,539.7,,19143800,1.39,,,,,
2026-09-03,8001,Itochu Corporation,2212.0,2148.4,2085.8,1965.7,,17930800,1.42,,,,,
2026-09-03,8316,"Sumitomo Mitsui Financial Group, Inc.",7089.0,6989.2,6811.1,6727.9,,15437300,1.54,,,,,
2026-09-03,8053,Sumitomo Corporation,1842.0,1809.3,1768.4,1651.6,,14984300,1.6,,,,,
2026-09-03,7267,"Honda Motor Co., Ltd.",1718.0,1711.1,1693.6,1572.3,,14790000,0.92,,,,,
2026-09-03,3103,Unitika Ltd.,1457.0,1549.0,1441.5,1139.0,,14417200,0.78,,,,,
2026-09-03,8058,Mitsubishi Corporation,5059.0,4893.0,4801.2,4663.1,,13744800,2.17,,,,,
2026-09-03,6758,Sony Group Corporation,3895.0,3961.0,3823.5,3543.1,,13172700,0.96,,,,,
2026-09-03,7211,Mitsubishi Motors Corporation,379.7,387.2,362.1,350.4,,12978600,1.12,,,,,
2026-09-03,8308,"Resona Holdings, Inc.",2550.0,2529.0,2427.8,2301.4,,12802800,1.5,,,,,
2026-09-03,8411,"Mizuho Financial Group, Inc.",8731.0,8641.2,8431.3,8203.6,,12261700,1.6,,,,,
2026-09-03,8604,"Nomura Holdings, Inc.",1632.0,1631.7,1578.5,1521.6,,11398300,1.24,,,,,
2026-09-03,5202,"Nippon Sheet Glass Company, Limited",490.0,491.4,486.9,481.8,,11126700,5.54,,,,,
2026-09-03,8309,"Sumitomo Mitsui Trust Group, Inc.",1787.0,1787.6,1733.8,1643.2,,11071000,1.29,,,,,
2026-09-03,5020,"ENEOS Holdings, Inc.",1372.0,1353.8,1319.5,1278.5,,10696100,1.5,,,,,
2026-09-03,6730,Axell Corporation,1288.0,1225.6,1164.2,1148.5,,10505800,44.75,,,,,
2026-09-03,4056,Neural Group Inc.,289.0,254.2,226.1,217.3,,10504100,20.77,,,,,
2026-09-03,4440,WITZ Corp.,2033.0,1736.6,1316.4,1189.9,,9642200,10.33,,,,,
2026-09-03,8031,"Mitsui & Co.,Ltd",5253.0,5111.6,4929.9,4797.0,,9254100,1.72,,,,,
2026-09-03,6330,Toyo Engineering Corporation,2609.0,2632.6,2456.4,2137.4,,8415200,1.24,,,,,
2026-09-03,9503,"Kansai Electric Power Company, Incorporated",3026.0,2861.4,2565.1,2410.1,,7746000,1.49,,,,,
2026-09-03,4052,"Ficha, Inc.",865.0,722.2,602.2,376.1,,7605100,3.92,,,,,
2026-09-03,7261,Mazda Motor Corp.,1205.5,1228.6,1192.8,1151.4,,7398500,1.07,,,,,
2026-09-03,7269,Suzuki Motor Corp.,2108.5,2176.5,2092.8,2027.4,,7261700,1.16,,,,,
2026-09-03,4661,"Oriental Land Co., Ltd.",3101.0,3038.8,2989.4,2721.5,,7209700,1.94,,,,,
2026-09-03,9433,KDDI Corporation,2981.5,2971.2,2898.9,2834.4,,7101200,0.81,,,,,
2026-09-03,8750,Daiichi Life Group. Inc.,1883.5,1855.9,1842.4,1838.0,,7028500,0.82,,,,,
2026-09-03,1605,Inpex Corporation,3889.0,3977.0,3823.6,3576.3,,6821400,1.59,,,,,
2026-09-03,6326,Kubota Corporation,3028.0,2948.5,2778.3,2762.0,,6657700,1.37,,,,,
2026-09-03,4506,Sumitomo Pharma Co.Ltd.,1673.5,1587.2,1432.8,1404.8,,6421000,1.65,,,,,
2026-09-03,5411,"JFE Holdings, Inc.",1888.5,1876.8,1841.3,1725.1,,6407200,0.59,,,,,
2026-09-03,8766,"Tokio Marine Holdings, Inc.",7958.0,7787.8,7598.0,7596.6,,6396400,1.25,,,,,
2026-09-03,2181,PERSOL HOLDINGS CO. LTD.,298.1,299.9,289.0,265.5,,6320200,0.6,,,,,
2026-09-03,4188,Mitsubishi Chemical Group Corporation,1283.0,1241.3,1195.1,1161.5,,6223800,0.96,,,,,
2026-09-03,7974,"Nintendo Co., Ltd.",8855.0,8963.2,8661.9,7670.6,,6128100,0.78,,,,,
2026-09-03,9843,Nitori Holdings Co. Ltd.,3275.0,3088.4,3003.0,2655.1,,6077600,2.34,,,,,
2026-09-03,7182,"Japan Post Bank Co., Ltd.",3417.0,3391.4,3251.9,3228.9,,5900000,1.14,,,,,
2026-09-03,6701,NEC Corporation,4729.0,4865.0,4805.0,4409.0,,5811600,0.93,,,,,
2026-09-03,4568,"Daiichi Sankyo Company, Limited",2854.5,2873.4,2807.6,2706.7,,5390100,0.92,,,,,
2026-09-03,6178,"JAPAN POST HOLDINGS Co., Ltd.",2552.0,2508.4,2405.1,2345.3,,5197000,0.85,,,,,
2026-09-03,3315,"Nippon Coke & Engineering Co., Ltd.",100.0,102.4,102.3,97.5,,5041000,0.71,,,,,
2026-09-03,5019,"Idemitsu Kosan Co., Ltd.",1489.5,1446.7,1362.4,1298.5,,4992400,1.17,,,,,
2026-09-03,4503,Astellas Pharma Inc.,2417.0,2392.6,2367.5,2232.5,,4891400,0.76,,,,,
2026-09-03,8601,Daiwa Securities Group Inc.,1856.0,1848.3,1807.9,1747.2,,4768900,0.95,,,,,
2026-09-03,8410,"Seven Bank, Ltd.",342.2,340.1,334.8,309.5,,4693000,1.09,,,,,
2026-09-03,6177,"AppBank, Inc.",89.0,85.6,82.7,81.2,,4557700,28.72,,,,,
2026-09-03,6702,Fujitsu Limited,3795.0,3863.2,3736.9,3482.0,,4501100,0.79,,,,,
2026-09-03,7733,Olympus Corp.,2068.0,2107.5,2097.3,1857.8,,4398600,0.96,,,,,
2026-09-03,2492,Infomart Corporation,665.0,658.8,607.7,507.0,,4196800,1.17,,,,,
