date,code,name,close,sma5,sma20,sma60,rsi,volume,volume_ratio,day_change_pct,prev_day_change_pct,high_price,low_price,atr_pct
2026-08-28,8918,ランド,11.0,10.6,10.4,10.2,,344356400,1.0,,,,,
2026-08-28,9432,ＮＴＴ,168.6,168.4,160.6,152.5,,183753500,0.84,,,,,
2026-08-28,4564,オンコセラピー・サイエンス,22.0,21.4,20.4,19.8,,173290300,0.87,,,,,
2026-08-28,3350,メタプラネット,346.0,319.0,253.3,238.1,,83469400,1.89,,,,,
2026-08-28,8729,ソニーフィナンシャルグループ,165.8,162.8,157.1,150.8,,68720600,1.18,,,,,
2026-08-28,9434,ソフトバンク,237.7,237.8,232.1,220.4,,56308600,0.82,,,,,
2026-08-28,5803,フジクラ,5340.0,5290.6,5256.5,5066.0,,39786600,0.64,,,,,
2026-08-28,3664,ＷＩＺＥ,28.0,28.0,24.1,23.3,,34463000,1.28,,,,,
2026-08-28,3103,ユニチカ,1686.0,1526.0,1316.2,1119.2,,32512900,1.37,,,,,
2026-08-28,9501,東京電力ホールディングス,528.1,529.9,525.1,506.9,,25684400,0.65,,,,,
2026-08-28,7203,トヨタ自動車,3116.0,3094.0,3022.8,2908.3,,24831800,1.17,,,,,
2026-08-28,6758,ソニーグループ,3928.0,3871.6,3753.6,3512.6,,19537500,1.51,,,,,
2026-08-28,4689,ＬＩＮＥヤフー,554.0,547.0,501.2,453.0,,19031100,0.97,,,,,
2026-08-28,9433,ＫＤＤＩ,2922.0,2897.3,2879.9,2814.5,,18876100,2.41,,,,,
2026-08-28,7267,本田技研工業,1702.5,1696.5,1671.2,1555.3,,15908400,0.94,,,,,
2026-08-28,6330,東洋エンジニアリング,2781.0,2613.6,2334.4,2097.9,,14596200,2.71,,,,,
2026-08-28,8308,りそなホールディングス,2512.5,2437.4,2366.8,2273.4,,13242100,1.58,,,,,
2026-08-28,2502,アサヒグループホールディングス,1670.5,1674.7,1671.0,1607.3,,12851300,1.89,,,,,
2026-08-28,7211,三菱自動車工業,388.7,373.1,355.5,346.9,,12573700,1.32,,,,,
2026-08-28,7974,任天堂,8993.0,8854.8,8383.4,7576.5,,12451600,1.38,,,,,
