date,code,name,close,sma5,sma20,sma60,rsi,volume,volume_ratio,day_change_pct,prev_day_change_pct,high_price,low_price,atr_pct
2026-09-18,9432,NTT Inc,177.3,178.2,173.3,159.6,,251021300,1.32,,,,,
2026-09-18,4564,"OncoTherapy Science, Inc.",21.0,22.0,21.9,20.5,,143870100,0.86,,,,,
2026-09-18,9434,SoftBank Corp.,248.1,250.0,242.2,228.5,,98237000,1.32,,,,,
2026-09-18,9984,SoftBank Group Corp.,6315.0,6172.6,5768.0,5748.3,,90291700,1.12,,,,,
2026-09-18,8729,Sony Financial Group Inc.,162.5,163.3,162.0,155.9,,57685000,1.14,,,,,
2026-09-18,8306,"Mitsubishi UFJ Financial Group, Inc.",3620.0,3663.0,3653.2,3564.3,,51333500,1.29,,,,,
2026-09-18,8001,Itochu Corporation,2306.5,2332.1,2225.1,2047.0,,32361000,1.78,,,,,
2026-09-18,5401,NIPPON STEEL CORP.,695.0,688.5,684.6,637.9,,28895800,0.89,,,,,
2026-09-18,4689,LY Corporation,536.8,553.8,542.8,486.3,,27736500,1.65,,,,,
2026-09-18,2181,PERSOL HOLDINGS CO. LTD.,291.9,296.2,294.7,274.6,,20214400,2.13,,,,,
2026-09-18,7267,"Honda Motor Co., Ltd.",1689.0,1687.2,1684.6,1618.0,,17291300,1.41,,,,,
2026-09-18,5020,"ENEOS Holdings, Inc.",1431.5,1441.4,1389.1,1313.4,,16565600,1.67,,,,,
2026-09-18,6501,"Hitachi, Ltd.",5524.0,5383.4,5345.8,5134.3,,15940600,1.95,,,,,
2026-09-18,9433,KDDI Corporation,3060.0,3072.4,2986.5,2892.0,,15618000,2.13,,,,,
2026-09-18,5131,Linkers Corporation,185.0,192.0,140.2,129.7,,15219900,2.45,,,,,
2026-09-18,8309,"Sumitomo Mitsui Trust Group, Inc.",1768.5,1781.1,1769.3,1692.2,,12047300,1.57,,,,,
2026-09-18,9008,Keio Corporation,780.4,798.6,789.0,776.4,,12023300,6.77,,,,,
2026-09-18,8725,"MS&AD Insurance Group Holdings, Inc.",5217.0,5199.4,5117.8,4829.7,,11735800,2.94,,,,,
2026-09-18,8750,Daiichi Life Group. Inc.,1913.5,1909.8,1856.8,1855.6,,11620400,1.47,,,,,
2026-09-18,8411,"Mizuho Financial Group, Inc.",8495.0,8599.6,8549.6,8353.1,,11135300,1.37,,,,,
2026-09-18,3659,"NEXON Co., Ltd.",3200.0,3153.2,3128.6,2666.9,,10834900,3.94,,,,,
2026-09-18,8601,Daiwa Securities Group Inc.,1845.5,1843.2,1836.9,1793.0,,10364200,2.38,,,,,
2026-09-18,8058,Mitsubishi Corporation,4947.0,4954.2,4904.9,4728.9,,9836900,1.26,,,,,
2026-09-18,9506,"Tohoku Electric Power Company, Incorporated",1377.0,1417.8,1373.8,1229.7,,9546200,2.05,,,,,
2026-09-18,9831,"Yamada Holding Co., Ltd.",715.7,718.9,709.4,694.3,,9545000,2.49,,,,,
2026-09-18,8031,"Mitsui & Co.,Ltd",5161.0,5158.4,5079.7,4864.0,,9125100,1.43,,,,,
2026-09-18,4568,"Daiichi Sankyo Company, Limited",2953.5,2881.5,2836.0,2755.1,,8967600,1.69,,,,,
2026-09-18,6178,"JAPAN POST HOLDINGS Co., Ltd.",2527.5,2512.3,2470.3,2390.2,,8757900,2.02,,,,,
2026-09-18,5019,"Idemitsu Kosan Co., Ltd.",1651.0,1646.6,1521.1,1358.0,,8734500,1.5,,,,,
2026-09-18,3823,"WHY HOW DO COMPANY,Inc.",42.0,44.6,34.8,32.3,,8523200,0.89,,,,,
2026-09-18,8848,Leopalace21 Corporation,1040.0,904.6,710.1,673.5,,8345100,1.71,,,,,
2026-09-18,8766,"Tokio Marine Holdings, Inc.",8200.0,8176.0,7849.1,7731.0,,8302400,1.52,,,,,
2026-09-18,4052,"Ficha, Inc.",985.0,910.6,812.1,507.7,,7540000,1.29,,,,,
2026-09-18,6330,Toyo Engineering Corporation,2908.0,2752.4,2676.2,2271.8,,7500300,0.9,,,,,
2026-09-18,6702,Fujitsu Limited,3979.0,3978.4,3844.7,3594.7,,7416200,1.02,,,,,
2026-09-18,5411,"JFE Holdings, Inc.",1883.0,1858.1,1852.4,1768.7,,6800000,1.4,,,,,
2026-09-18,9107,"Kawasaki Kisen Kaisha, Ltd.",3497.0,3464.6,3394.4,2971.0,,6729200,1.7,,,,,
2026-09-18,4502,Takeda Pharmaceutical Co. Ltd.,5968.0,5869.0,5799.7,5580.8,,6517000,1.61,,,,,
2026-09-18,9503,"Kansai Electric Power Company, Incorporated",2905.5,2951.7,2861.2,2526.8,,6334400,1.69,,,,,
2026-09-18,5202,"Nippon Sheet Glass Company, Limited",496.0,495.4,493.2,485.7,,6091600,3.27,,,,,
2026-09-18,2146,"UT Group Co.,Ltd.",241.0,235.2,230.5,203.3,,5931900,1.4,,,,,
2026-09-18,6701,NEC Corporation,4812.0,4838.6,4746.2,4565.6,,5826600,0.99,,,,,
2026-09-18,8410,"Seven Bank, Ltd.",342.6,344.2,339.2,320.0,,5746500,1.68,,,,,
