date,ticker,name,close,sma5,sma20,sma60,volume,volume_ma20,volume_ratio,next_close,ret_1d,ret_2d,ret_3d,ret_5d,hit_2pct_1d,hit_2pct_2d,hit_2pct_3d,hit_2pct_5d,prev_prev_day_change_pct,prev_day_change_pct,day_change_pct,rsi,recent_high,volume_change_pct,open_price,high_price,low_price,hh20,vol_today_vs_yday_pct,is_pullback,is_breakout,long_upper_wick,is_high_zone,big_bearish_yesterday,weekly_sma20_ok,first_sma20_touch,sma20_touch_count,trend_start_days_ago,day_of_week,atr_pct,cum_ret_1d,cum_ret_2d,cum_ret_3d,ret_4d,cum_ret_4d,hit_2pct_4d,cum_ret_5d,days_to_target,pos_within_3d,pos_within_5d,max_ret_3d,max_ret_5d
2025-12-01,1852,淺沼組,1028.0,1014.6,950.0,889.7,576200,504450.0,1.14,998.0,-2.918,-0.902,0.607,2.213,0,0,0,0,-1.08,2.39,0.0,71.9,,44.2,1031.0,1034.0,1019.0,1041.0,10.1,False,False,False,True,False,False,False,2,20,0,,-2.918,-3.794,-3.21,-0.101,-3.307,0,-1.167,,0,0,-0.778,-0.778
2025-12-01,1861,熊谷組,1553.0,1542.4,1490.2,1348.0,610900,819420.0,0.75,1560.0,0.451,-1.795,0.196,2.6,0,0,0,0,-0.32,1.49,-0.7,67.0,,5.3,1593.0,1595.0,1539.0,1595.0,35.3,False,False,False,True,False,False,False,3,20,0,,0.451,-1.352,-1.159,-2.28,-3.413,0,-0.901,,1,1,0.837,0.837
2025-12-01,1860,戸田建設,1220.5,1198.0,1120.2,1060.8,681200,690110.0,0.99,1201.5,-1.557,-0.083,-0.167,2.047,0,0,0,0,-0.38,1.93,0.54,79.8,,117.9,1230.0,1237.0,1209.5,1237.0,-10.8,False,False,False,True,False,False,False,1,20,0,,-1.557,-1.639,-1.803,-0.125,-1.925,0,0.082,,0,1,-0.164,0.615
2025-12-01,1885,東亜建設工業,2958.0,2866.0,2566.2,2286.5,706900,688795.0,1.03,2828.0,-4.395,0.636,-3.338,1.682,0,0,0,0,0.17,2.23,1.02,75.5,,-29.3,2948.0,2980.0,2856.0,2980.0,29.4,False,False,False,True,False,False,False,2,20,0,,-4.395,-3.786,-6.998,1.599,-5.51,0,-3.922,,0,0,-0.439,-0.439
2025-12-01,1893,五洋建設,1729.5,1680.5,1548.0,1308.6,4707900,3258200.0,1.44,1662.0,-3.903,-0.572,-1.785,3.953,0,0,0,0,-0.36,3.42,0.26,77.6,,-0.6,1734.5,1756.5,1682.0,1756.5,49.6,False,False,False,True,False,False,False,0,20,0,,-3.903,-4.452,-6.158,-2.588,-8.586,0,-4.973,,0,0,-0.029,-0.029
2025-12-01,1928,積水ハウス,3338.4,3376.4,3291.8,3291.2,2605900,1920835.0,1.36,3359.0,0.616,-1.195,0.59,2.25,0,0,0,0,0.58,0.49,-2.52,53.9,,16.4,3408.0,3419.7,3330.6,3424.6,81.6,True,False,False,True,False,False,True,1,0,0,,0.616,-0.587,0.0,-2.229,-2.229,0,-0.029,,1,1,0.733,0.733
2025-12-01,1942,関電工,4800.0,4861.4,4842.7,4407.4,1126300,1425830.0,0.79,4794.0,-0.125,0.563,-1.058,1.844,0,0,0,0,1.62,0.86,-2.99,53.0,,-41.4,4932.0,4959.0,4772.0,5076.0,97.3,False,False,False,False,False,False,True,1,2,0,,-0.125,0.438,-0.625,0.021,-0.604,0,1.229,,1,1,1.25,1.667
2025-12-01,1951,エクシオグループ,2410.0,2430.4,2345.2,2223.6,734100,743260.0,0.99,2405.5,-0.187,-0.624,0.23,1.647,0,0,0,0,0.25,0.78,-1.91,63.7,,8.9,2471.5,2481.0,2407.0,2481.0,60.4,True,False,False,True,False,False,False,1,20,0,,-0.187,-0.809,-0.581,0.104,-0.477,0,1.162,,1,1,0.228,1.805
2025-12-01,1963,日揮ホールディングス,1887.5,1905.9,1769.3,1592.0,1408300,2316725.0,0.61,1846.5,-2.172,-0.867,2.158,0.725,0,0,0,0,-2.33,1.06,-0.89,68.8,,-26.1,1934.5,1940.0,1863.5,1944.0,0.3,True,False,False,True,False,False,False,2,20,0,,-2.172,-3.02,-0.927,-0.401,-1.325,0,-0.609,,1,1,0.318,0.318
2025-12-01,1980,ダイダン,2330.0,2376.0,2304.2,2163.7,829800,966060.0,0.86,2300.0,-1.288,2.174,-0.567,2.528,0,1,1,1,1.27,1.39,-4.25,54.6,,22.3,2440.0,2453.3,2310.0,2453.3,46.0,True,False,False,False,False,False,True,1,3,0,,-1.288,0.858,0.286,1.569,1.86,1,4.435,2.0,1,1,2.718,5.293
